ITERATION	TESTCASE	DESCRIPTION	TRACKID	STARTDATE	ENDDATE	TASK	COUNTERS	VALUE(ms)	SIZE	NAME	
1	PLM	04.02 - Click on Hamburger icon -> Collection Plan -> All Collections	0	09.51.36,75	09.51.36,81	RESOURCE	NETWORK	62	34164	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,122,0	
1	PLM	04.02 - Click on Hamburger icon -> Collection Plan -> All Collections	0	09.51.36,75	09.51.36,82	RESOURCE	NETWORK	65	34164	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,96,0	
1	PLM	04.02 - Click on Hamburger icon -> Collection Plan -> All Collections	0	09.51.36,75	09.51.36,82	RESOURCE	NETWORK	66	3111	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,104,0	
1	PLM	04.02 - Click on Hamburger icon -> Collection Plan -> All Collections	0	09.51.35,81	09.51.36,82	LOG	REQTIME	1010	0		
1	PLM	05.00 - Switch to "Gallery View"	0	09.51.39,40	09.51.40,74	LOG	TOTAL	1344	
1	PLM	05.00 - Switch to "Gallery View"	0	09.51.39,46	09.51.39,66	RESOURCE	NETWORK	201	8952	http://vmtestbaring:20200/server/api/ClientWebDesktop	
1	PLM	05.00 - Switch to "Gallery View"	0	09.51.39,88	09.51.39,89	RESOURCE	NETWORK	15	46323	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,112,0	
1	PLM	05.00 - Switch to "Gallery View"	0	09.51.39,88	09.51.39,89	RESOURCE	NETWORK	13	37105	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,126,0	
1	PLM	05.00 - Switch to "Gallery View"	0	09.51.39,89	09.51.39,89	RESOURCE	NETWORK	8	34580	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,117,2	
1	PLM	05.00 - Switch to "Gallery View"	0	09.51.39,89	09.51.39,90	RESOURCE	NETWORK	10	3111	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,124,0	
